학년,출발 시간,학교 도착 시간,학교까지 걸리는 시간,주사용 교통수단,지각 빈도,지각 원인,DATE,지각자 수,TEM,WEATHER CONDITION,WIND,HUMIDITY,BAROMETER
7학년,7:10~7:20,7:30~7:40,10~20분,버스,거의 없음,"늦잠, 지각을 잘 안함",08/16,0명,28,partly sunny,6km/h,89%,1011mbar
7학년,7:00~7:10,7:30~7:40,10~20분,버스,거의 없음,지각을 잘 안함,8/19,6명,29,passing clouds,13km/h,79%,1009mbar
7학년,7:40~7:50,7:50~8:00,10분 이내,오토바이,한 달에 1~2번,늦잠,8/20,2명,29,passing clouds,7km/h,84%,1009mbar
7학년,7:00~7:10,7:00~7:10,10분 이내,걸어서,거의 없음,지각을 잘 안함,8/21,0명,29,passing clouds,7km/h,84%,1010mbar
7학년,7:00~7:10,7:30~7:40,10~20분,버스,거의 없음,"택시 호출 지연( 날씨 영향 없는), 지각을 잘 안함",8/22,1명,28,passing clouds,9km/h,84%,1010mbar
7학년,7:00~7:10,7:30~7:40,10~20분,버스,거의 없음,"택시 호출 지연( 날씨 영향 없는), 지각을 잘 안함",8/23,4명,27,rain showers&broken clouds,6km/h,89%,1012mbar
7학년,7:40~7:50,7:50~8:00,10분 이내,오토바이,한 달에 1~2번,늦잠,8/24,0명,27,scatteres clouds,6km/h,89%,1010mbar
7학년,7:10~7:20,7:40~7:50,20~30분,버스,거의 없음,지각을 잘 안함,8/25,0명,28,passing clouds,2km/h,84%,1010mbar
7학년,7:10~7:20,7:20~7:30,10~20분,버스,거의 없음,지각을 잘 안함,8/26,0명,27,sunny,2km/h,84%,1009mbar
7학년,7:30~7:40,7:50~8:00,10~20분,걸어서,거의 없음,지각을 잘 안함,8/27,0명,27,fog,11km/h,89%,1009mbar
7학년,7:30~7:40,7:40~7:50,10분 이내,걸어서,거의 없음,지각을 잘 안함,8/28,0명,28,sunny,11km/h,89%,1009mbar
7학년,7:20~7:30,8:00~,10~20분,택시,한 달에 1~2번,"교통 문제( 차 막힘, 사고)",8/29,0명,27,sunny,13km/h,84%,1010mbar
8학년,6:30~7:00,7:30~7:40,20~30분,버스,거의 없음,늦잠,8/30,0명,27,scatteres clouds,13km/h,84%,1009mbar
8학년,7:30~7:40,8:00~,10~20분,택시,거의 없음,"교통 문제( 차 막힘, 사고), 날씨 문제( 비), 택시 호출 지연( 날씨 영향 없는)",9/4,2명,27,scatteres clouds,7km/h,89%,1008mbar
8학년,7:10~7:20,7:30~7:40,10~20분,버스,한 달에 1~2번,늦잠,9/5,4명,27,partly sunny,17km/h,89%,1006mbar
8학년,7:20~7:30,7:40~7:50,10~20분,버스,거의 없음,지각을 잘 안함,9/6,7명,28,scatteres clouds,19km/h,89%,1006mbar
8학년,7:10~7:20,7:20~7:30,10~20분,버스,거의 없음,지각을 잘 안함,9/9,3명,28,broken clouds,17km/h,89%,1008mbar
8학년,7:10~7:20,7:30~7:40,10~20분,버스,거의 없음,"교통 문제( 차 막힘, 사고), 택시 호출 지연( 날씨 영향 없는), 지각을 잘 안함",9/10,4명,28,passing clouds,7km/h,89%,1007mbar
8학년,7:30~7:40,7:40~7:50,10분 이내,걸어서,거의 없음,늦잠,9/11,1명,28,broken clouds,9km/h,94%,1009mbar
8학년,7:10~7:20,7:40~7:50,10~20분,버스,거의 없음,지각을 잘 안함,9/12,2명,28,passing clouds,4km/h,84%,1010mbar
8학년,7:10~7:20,7:20~7:30,10~20분,버스,거의 없음,지각을 잘 안함,9/13,2명,28,partly sunny,15km/h,89%,1008mbar
8학년,7:00~7:10,7:50~8:00,30분 이상,버스,한 달에 1~2번,"교통 문제( 차 막힘, 사고)",9/14,0명,27,sunny,17km/h,89%,1007mbar
8학년,7:10~7:20,7:40~7:50,20~30분,버스,거의 없음,"교통 문제( 차 막힘, 사고), 지각을 잘 안함",9/16,0명,28,passing clouds,11km/h,84%%,1011mbar
8학년,7:40~7:50,7:50~8:00,10~20분,택시,한 달에 1~2번,"교통 문제( 차 막힘, 사고), 늦잠",9/18,9명,26,rain&fog,10km/h,94%,1002mbar
8학년,7:10~7:20,7:30~7:40,10분 이내,버스,거의 없음,지각을 잘 안함,9/19,0명,27,broken clouds,15km/h,89%,1003mbar
8학년,7:00~7:10,7:20~7:30,10분 이내,버스,거의 없음,"교통 문제( 차 막힘, 사고), 택시 호출 지연( 날씨 영향 없는)",9/20,2명,28,scatteres clouds,24km/h,84%,1004mbar
8학년,7:00~7:10,7:20~7:30,10~20분,버스,한 달에 1~2번,"교통 문제( 차 막힘, 사고), 늦잠",9/23,0명,28,passing clouds,9km/h,84%,1010mbar
8학년,6:30~7:00,7:50~8:00,10분 이내,걸어서,주 3번 이상,늦잠,9/24,0명,27,fog,7km/h,89%,1011mbar
8학년,7:10~7:20,7:30~7:40,10~20분,버스,거의 없음,지각을 잘 안함,9/25,0명,28,fog,6km/h,89%,1011mbar
8학년,7:00~7:10,7:50~8:00,10~20분,오토바이,거의 없음,지각을 잘 안함,9/26,1명,27,fog,7km/h,89%,1011mbar
8학년,7:30~7:40,7:40~7:50,10분 이내,택시,거의 없음,"교통 문제( 차 막힘, 사고), 택시 호출 지연( 날씨 영향 없는), 지각을 잘 안함",10/1,1명,28,partly sunny,7km/h,84%,1010mbar
9학년,7:40~7:50,7:50~8:00,10분 이내,택시,거의 없음,늦잠,10/2,0명,31,scatteres clouds,4km.h,79%,1011mbar
10학년,7:30~7:40,7:50~8:00,10분 이내,오토바이,한 달에 1~2번,날씨 문제( 비),10/3,0명,27,partly sunny,6km/h,84%,1011mbar
11학년,7:40~7:50,7:50~8:00,10분 이내,개인 차,거의 없음,지각을 잘 안함,10/4,0명,27,fog,9km/h,89%,1011mbar
11학년,7:20~7:30,7:30~7:40,10분 이내,개인 차,거의 없음,지각을 잘 안함,10/7,2명,26,fog,no wind,94%,1011mbar
11학년,7:30~7:40,7:40~7:50,10분 이내,택시,한 달에 1~2번,"교통 문제( 차 막힘, 사고), 날씨 문제( 비), 늦잠",10/9,3명,27,passing clouds,9km/h,89%,1010mbar
11학년,6:30~7:00,7:00~7:10,10~20분,택시,거의 없음,"교통 문제( 차 막힘, 사고), 택시 호출 지연( 날씨 영향 없는), 지각을 잘 안함",10/21,0명,25,partly sunny,9km/h,94%,1011mbar
11학년,7:10~7:20,7:30~7:40,10~20분,택시,거의 없음,지각을 잘 안함,10/22,1명,27,broken clouds,6km/h,94%,1009mbar
11학년,7:10~7:20,7:30~7:40,10~20분,버스,거의 없음,지각을 잘 안함,10/23,3명,26,partly sunny,9km/h,94%,1009mbar
11학년,7:00~7:10,7:20~7:30,10~20분,오토바이,거의 없음,지각을 잘 안함,10/24,1명,28,passing clouds,11km/h,79%,1009mbar
