Avg Year,Type,Avg Deaths,,0
2005.333333,Interstate,38534.33333,,
2009,Interstate,26288.66667,,
2003.333333,Interstate,56639,,
2004.333333,Interstate,47734,,
2006.666667,Interstate,69195.33333,,
2006.666667,Interstate,104461,,
2007.666667,Interstate,54922.33333,,
2011.666667,Interstate,71296.33333,,
1996.333333,Interstate,33370,,
2004,Interstate,31775.33333,,
2002.333333,Interstate,55904,,
2000.333333,Interstate,78709,,
2006.333333,Interstate,51786,,
2007,Interstate,33775.66667,,
1995.666667,Interstate,48240,,
2001,Interstate,301619,,
2014,Interstate,106879,,
2006.333333,Interstate,37381,,
2000.333333,Interstate,21562.33333,,
2008,Interstate,26431,,
2010.666667,Interstate,69765,,
2011,Interstate,60097,,
1999,Interstate,61469.66667,,
1999.333333,Interstate,56328.33333,,
2002.333333,Interstate,50185.66667,,
2008,Interstate,30859.33333,,
2012.333333,Interstate,98725.66667,,
2002.666667,Interstate,55898,,
2006,Interstate,87999.33333,,
2014.666667,Interstate,99427.66667,,
2016,Interstate,58983,,
2011.666667,Interstate,52546.66667,,
1994,Interstate,41221.33333,,
2003,Interstate,60586,,
2005,Interstate,53408.33333,,
2006,Interstate,51027,,
2010.666667,Interstate,66125.66667,,
2010.666667,Interstate,31594,,
2012.666667,Interstate,55490.33333,,
2007,Interstate,49259.33333,,
2000,Interstate,316315,,
2014,Interstate,57809.66667,,
2009.333333,Interstate,77210.33333,,
2008.333333,Interstate,119361,,
1995.333333,Interstate,283426.3333,,
2002.666667,Interstate,57989.66667,,
2012,Interstate,96085,,
2017.333333,Interstate,72894.33333,,
1993.666667,Interstate,59295,,
1995,Interstate,56857.33333,,
2015.666667,Interstate,62536.66667,,
2005.666667,Interstate,91032,,
2008,Interstate,89210.66667,,
2002,Interstate,301850.3333,,
2005.333333,Interstate,44647,,
2003,Interstate,336545.6667,,
2004.333333,Interstate,29617.66667,,
2004,Interstate,340085,,
2004,Interstate,46634.33333,,
2009.666667,Interstate,54597.33333,,
2002,Interstate,32109.66667,,
2012,Interstate,102905.3333,,
1998,Interstate,40720,,
2013.333333,Interstate,69518.33333,,
2020,Interstate,52848.33333,,
2004.333333,Interstate,57396.66667,,
1993,Interstate,61250.66667,,
2003.333333,Interstate,52820,,
2011.333333,Interstate,30171,,
2003.666667,Interstate,50260.66667,,
2010.666667,Interstate,107119.6667,,
2009,Interstate,36365.33333,,
2016.333333,Interstate,79523.33333,,
2009.666667,Interstate,37083.66667,,
2005.666667,Interstate,50170.66667,,
2011.333333,Interstate,150831.6667,,
2006.333333,Interstate,28057,,
1994,Interstate,37951.33333,,
2008.666667,Interstate,87314.33333,,
2012.666667,Interstate,32295.33333,,
2008.666667,Interstate,79054.66667,,
2016.333333,Interstate,91440.33333,,
2019.333333,Interstate,163062.3333,,
1997.333333,Intrastate,39172.66667,,
2014.666667,Interstate,51287.66667,,
2009.666667,Interstate,302069.3333,,
2017.333333,Interstate,65714,,
2021,Interstate,101134.3333,,
2013.333333,Interstate,44054.33333,,
2006,Interstate,89245,,
2007.666667,Interstate,64692,,
2014,Interstate,55754,,
2005.333333,Interstate,69486.66667,,
2003,Interstate,69091,,
2011.666667,Interstate,104129,,
2016.666667,Interstate,87009.33333,,
2002.666667,Interstate,44150.33333,,
1997.666667,Interstate,37250,,
2002,Interstate,30254.33333,,
2010,Interstate,43374.33333,,
2010.666667,Interstate,112242.3333,,
2011.333333,Interstate,46530.66667,,
2004.666667,Interstate,273953,,
2006.666667,Interstate,81118.66667,,
1993,Intrastate,292663,,
2020.333333,Interstate,59627,,
2007.666667,Interstate,32165.33333,,
2006.333333,Interstate,16858,,
2014.666667,Interstate,107291.6667,,
2002.666667,Interstate,38759.66667,,
2000,Interstate,97879.66667,,
2007.333333,Interstate,73426.33333,,
2002.333333,Interstate,28558,,
2002.666667,Interstate,56829.66667,,
2009.333333,Interstate,52213,,
2011.666667,Interstate,60921.66667,,
2001.333333,Intrastate,48201.33333,,
2006,Interstate,61925.33333,,
2014.666667,Interstate,116694.6667,,
2009,Interstate,39610.33333,,
2011.333333,Interstate,94042.33333,,
2008.333333,Interstate,43597.33333,,
1991.333333,Intrastate,50874,,
2006.666667,Interstate,37647.66667,,
2008.666667,Interstate,80590.33333,,
2011.666667,Interstate,68844,,
2014.666667,Interstate,100485,,
2004,Interstate,99414,,
2002.666667,Interstate,97651.66667,,
2006,Interstate,48062.33333,,
2010.666667,Interstate,61015.33333,,
2010,Interstate,51037.33333,,
2009,Interstate,72164.33333,,
2011.333333,Interstate,113330,,
1995.333333,Interstate,46041.33333,,
2013,Interstate,66624.33333,,
2002.333333,Interstate,51246.66667,,
2017.333333,Interstate,41014,,
2014.333333,Interstate,57074.66667,,
2007,Interstate,48293.66667,,
2015.666667,Interstate,56722,,
2010.333333,Interstate,31842.66667,,
2008,Interstate,45563,,
2004.666667,Interstate,29549.66667,,
1997.333333,Interstate,42622.66667,,
2012.333333,Interstate,54374.33333,,
2001.333333,Interstate,27932.66667,,
2012,Interstate,65113.66667,,
2008,Interstate,26431,,
2004.666667,Interstate,39339.66667,,
2017,Interstate,49509,,
2001.666667,Interstate,39356.33333,,
2000,Interstate,30741.66667,,
1997.666667,Interstate,33263.33333,,
1999.333333,Interstate,76119,,
2006.666667,Interstate,39931,,
2001.333333,Interstate,29184.66667,,
2000,Interstate,61150.66667,,
2006.666667,Interstate,283689.3333,,
2009,Interstate,86394,,
1999.666667,Interstate,29936,,
2013.333333,Interstate,69590,,
1992,Interstate,43843.66667,,
2010,Interstate,68550.66667,,
2011.666667,Interstate,350586.6667,,
2007.333333,Interstate,29615.66667,,
2009.666667,Interstate,39666.66667,,
2005.333333,Interstate,23095,,
2003.666667,Interstate,40503.66667,,
2002,Interstate,31046,,
1999,Interstate,45807.33333,,
2006.666667,Interstate,40304.66667,,
2009.333333,Interstate,71313.66667,,
2008.666667,Interstate,78243,,
2009.333333,Interstate,69622.66667,,
2005.666667,Interstate,52451,,
2010,Interstate,83461,,
2011.333333,Interstate,61337.66667,,
2007.666667,Interstate,283687.6667,,
1998.666667,Interstate,72537.33333,,
2003,Interstate,46242.66667,,
2005.333333,Interstate,91200.66667,,
2009.333333,Interstate,51746.33333,,
2012.333333,Interstate,76818,,
2012.333333,Interstate,108638,,
2011.333333,Interstate,96995,,
2006.333333,Interstate,301446,,
2005.666667,Interstate,36423.33333,,
1998.333333,Interstate,39482,,
2001,Interstate,32451.33333,,
2005.333333,Interstate,22551,,
1995.666667,Interstate,39155.66667,,
2000.333333,Interstate,60061.33333,,
2019,Interstate,109077,,
2010.666667,Interstate,109895,,
1993.333333,Interstate,50996.66667,,
2009.666667,Interstate,51455.66667,,
2006.333333,Interstate,17407.33333,,
2000.333333,Interstate,44904.66667,,
2014.333333,Interstate,139380,,
2009,Interstate,29816.66667,,
2019.333333,Interstate,162924.6667,,
2011,Interstate,47799,,
2005,Interstate,42970.66667,,
1998.333333,Interstate,34860,,
2003.666667,Interstate,26629.66667,,
2009,Interstate,101206.3333,,
1995,Interstate,293680.3333,,
2004.666667,Interstate,30938.33333,,
2007.333333,Interstate,39979.33333,,
1993.333333,Intrastate,45161.33333,,
2008,Interstate,71470.66667,,
2007.666667,Interstate,74821,,
2012,Interstate,42108.33333,,
2005,Interstate,51572,,
2004.333333,Interstate,278458.3333,,
1994,Interstate,49829.33333,,
2012.666667,Interstate,107272.6667,,
